1,Bitcoin,BTC
2,Viberate_com,VIB
3,VitalikButerin,ETH
4,SiaTechHQ,SC
5,NEMofficial,XEM
6,ad_chain,ADT
7,CardanoStiftung,ADA
8,vergecurrency,XVG
9,StellarOrg,XLM
10,stratisplatform,STRAT
11,Ripple,XRP
12,DigitalNote_XDN,XDN
13,VeriCoin,VRC
14,viacoin,VIA
15,ionomics,ION
16,BITCOlNCASH,BCH
17,JihanWu,BCH
18,omise_go,OMG
19,BitBayofficial,BAY
20,NEO_Blockchain,NEO
21,NEOnewstoday,NEO
22,Voxelus,VOX
23,Unbreakablcoin,UNB
24,DigiByteCoin,DGB
25,eth_classic,ETC
26,Project_Synx,SYNX
27,syndicate_ltd,SYNX
28,litecoin,LTC
29,SatoshiLite,LTC
30,bitcoingold,BTG
31,LiskHQ,LSK
32,firstbloodio,1ST
33,reddcoin,RDD
34,AttentionToken,BAT
35,FunFairTech,FUN
36,MonetaryUnit,MUE
37,steemit,STEEM
38,tenxwallet,PAY
39,QtumOfficial,QTUM
40,ubiqsmart,UBQ
41,PowerLedger_io,POWR
42,zcashco,ZEC
43,RCN_token,RCN
44,NxtCommunity,NXT
45,Dashpay,DASH
46,SaltLending,SALT
47,SibChervonec,SIB
48,ArdorPlatform,ARDR
49,wavesplatform,WAVES
50,ethstatus,SNT
51,storjproject,STORJ
52,LBRYio,LBC
53,Burstcoin_dev,BURST
54,syscoin,SYS
55,SwarmCityDApp,SWT
56,IoP_community,IOP
57,monerocurrency,XMR
58,_pivx,PIVX
59,UnikoinGold,UKG
60,EnigmaMPC,ENG
61,Vertcoin,VTC
62,AugurProject,REP
63,ByteballOrg,GBYTE
64,DECENTplatform,DCT
65,dogecoin,DOGE
66,DogeIsDead,DOGE
67,zencashofficial,ZEN
68,edgelessproject,EDG
69,QRLedger,QRL
70,OfficialNuBits,NBT
71,blocktix,TIX
72,KomodoPlatform,KMD
73,AragonProject,ANT
74,iEx_ec,RLC
75,einsteiniumcoin,EMC2
76,decentraland,MANA
77,ParticlProject,PART
78,Humaniq,HMQ
79,Synereo,AMP
80,numerai,NMR
81,ArkEcosystem,ARK
82,RiseVisionTeam,RISE
83,pepecoins,MEME
84,Bancor,BNT
85,district0x,DNT
86,NavCoin,NAV
87,AdEx_Network,ADX
88,gamecredits,GAME
89,elastic_coin,XEL
90,monaco_card,MCO
91,matchpool,GUP
92,mercurytoken,MER
93,decredproject,DCR
94,CoinBlack,BLK
95,civickey,CVC
96,NxsEarth,NXS
97,patientory,PTOY
98,zcoinofficial,XZC
99,golemproject,GNT
